cell_id,priority,component_source,component_boundary,target_host,comparison_cell,task_manifest,library_version,adapter_id,adapter_scope,frozen_neighbors,information_axis,target_fidelity_status,observed_fidelity_status,execution_status,compatibility_class,primary_metrics,paper_axes_inherited,required_raw_artifacts,stop_condition,notes
B-GRASP-NATIVE-CONTROL,P0-control,grasp_gate,method_run,official_task_interface,,agentbench_alfworld_dev_val_test,released_alfworld_base,none,native,TBD,native,source_variant,TBD,not_run,native,fixes_regressions_accept_reject_noop_task_cost,GRASP,config_raw_proposals_probe_logs_library_versions,protocol_gate,native source/artifact reference; first-batch probe differs from paper
B-A-GRASP-PROPOSER,P0,grasp_gate,native_proposal_pipeline,strict_disjoint_grasp_gate,B-GRASP-NATIVE-CONTROL,agentbench_alfworld_dev26,released_alfworld_base,none,native,gate_probe_evaluator_task_library_repository,disjoint_13_history_13_proposal,source_variant,provider_substituted_single_failure,completed_compatibility,compatible_one_add,candidate_validity_fixes_regressions_admission_cost,GRASP,request_raw_candidates_probe_traces_gate_decision_repo_hash,native_control_required,DeepSeek paired smoke: 1 valid ADD reached unchanged repository/gate; strict 13/13 performance blocked environment
B-A-SKILLRL-UNDER-GRASP,P0,skillrl,released_additive_updater_as_proposer,strict_disjoint_grasp_gate,B-A-GRASP-PROPOSER,agentbench_alfworld_dev26,released_alfworld_base,skillrl_add_to_grasp_candidate_v0,proposal_output_only,gate_probe_evaluator_task_library_repository,disjoint_13_history_13_proposal,source_variant,source_commit_verified_prompt_built,blocked_credentials,not_observed,compatibility_friction_candidate_validity_fixes_regressions_admission_cost,SkillRL_and_GRASP,request_native_output_normalized_candidates_adapter_events_probe_traces_gate_decision_repo_hash,no_silent_modify_remove_refinement_or_missing_trigger,fixture and recorder complete; Azure key and endpoint absent; no candidate fabricated
B-A-SKILLRL-GLM-FLOW,P0-supporting,skillrl_prompt_parser_with_glm_writer,released_prompt_and_parser_plus_substituted_writer,strict_disjoint_grasp_gate,B-A-SKILLRL-UNDER-GRASP,historical_failure_fixture_v1,released_alfworld_base,skillrl_add_to_grasp_candidate_v0,proposal_output_only,gate_probe_evaluator_task_library_repository,single_historical_failure_provider_smoke,provider_substituted,flow_complete,completed,compatible_with_writer_substitution,compatibility_friction_candidate_validity_repository_boundary_gate_runnability_cost,SkillRL_and_GRASP,request_raw_output_normalized_candidates_adapter_events_repository_trace_gate_decision,provider_difference_and_no_performance_claim,3 native candidates; 3 adapter-valid; 3 reached repository and no-change gate; future substituted calls use deepseek_v4_flash
B-A-SKILLRL-DEEPSEEK-FLOW,P0-supporting,skillrl_prompt_parser_with_deepseek_writer,released_prompt_and_parser_plus_substituted_writer,strict_disjoint_grasp_gate,B-A-SKILLRL-GLM-FLOW,historical_failure_fixture_v1,released_alfworld_base,skillrl_add_to_grasp_candidate_v0,proposal_output_only,gate_probe_evaluator_task_library_repository,single_historical_failure_provider_smoke,provider_substituted,flow_complete,completed,compatible_with_writer_substitution,compatibility_friction_candidate_validity_repository_boundary_gate_runnability_cost_latency,SkillRL_and_GRASP,request_raw_output_normalized_candidates_adapter_events_repository_trace_gate_decision,provider_difference_and_no_performance_claim,3 native candidates; 3 adapter-valid; 3 reached repository and no-change gate; 3.144s vs GLM 105.965s; selected future substituted backend
B-A-SKILLRL-DEEPSEEK-PAIRED,P0,skillrl_prompt_parser_with_deepseek_writer,released_prompt_and_parser_plus_substituted_writer,strict_disjoint_grasp_gate,B-A-GRASP-PROPOSER,historical_failure_fixture_v1,released_alfworld_base,skillrl_add_to_grasp_candidate_v0,proposal_output_only,gate_probe_evaluator_task_library_repository,same_single_failure_empty_learned_library,provider_substituted,paired_compatibility_complete,completed,compatible_three_adds,compatibility_friction_candidate_validity_repository_boundary_gate_runnability_cost,SkillRL_and_GRASP,request_raw_output_normalized_candidates_adapter_events_repository_trace_gate_decision,provider_difference_and_strict_performance_environment,DeepSeek paired smoke: 3 valid ADDs reached unchanged repository/gate; I6 compatibility passed; task performance blocked
B-A-PAIRED-COMPARISON,P0,grasp_vs_skillrl_a_slot,paired_component_edge,strict_disjoint_grasp_gate,B-A-GRASP-PROPOSER,historical_failure_fixture_v1,released_alfworld_base,declared_per_component,proposal_output_only,gate_probe_evaluator_task_library_repository,same_evidence_library_cap_gate,provider_substituted,compatibility_complete_performance_blocked,completed_partial,compatible_task_performance_unavailable,candidates_calls_tokens_latency_cost_adapter_friction_gate_reachability,GRASP_and_SkillRL,paired_run_manifest_two_cell_jsonl_summary,agentbench_services_and_docker_required,A0 1 candidate 3 calls $0.00327228; A1 3 candidates 1 call $0.00060236; all reached no-change gate; no performance claim
B-SKILLOPS-ROUNDTRIP,P1,skillops,released_contracts_and_actions,isolated_library_copy,,none,alfworld_static_v0,TBD,representation_conversion_only,retriever_executor,blind,source_variant,TBD,not_run,undetermined,roundtrip_loss_id_map_action_counts_cost,SkillOps,TBD,isolated_copy_required,no task performance claim
B-L-SKILLOPS-AFTER-GRASP,P1,skillops,released_maintenance_primitives,skillstack_frozen_react,B-SKILLOPS-ROUNDTRIP,TBD,TBD,TBD,library_time_only,retriever_executor_model_prompt,blind,source_variant,TBD,not_run,undetermined,compatibility_friction_task_delta_tokens_calls_cost,SkillOps_GRASP_and_SkillStack,TBD,roundtrip_and_grasp_library_required,cross-paper sequential composition
B-GRASP-SS-TASK,P2-supporting,grasp_gate,method_run,skillstack_alfworld_task_adapter,B-GRASP-NATIVE-CONTROL,TBD,TBD,TBD,task_boundary_only,TBD,matched,paper_faithful,TBD,not_run,undetermined,host_compatibility_friction_task_delta_cost_failures,GRASP_and_SkillStack,TBD,after_slot_level_spec,whole-method auxiliary cell
